NUGET,SBOM_dependencies,CVE
advancedstringbuilder@0.1.0,advancedstringbuilder@0.1.0,NA
autofac.extensions.dependencyinjection@8.0.0,autofac.extensions.dependencyinjection@8.0.0,NA
autofac@6.4.0,autofac@6.4.0,NA
automapper.extensions.microsoft.dependencyinjection@12.0.0,automapper.extensions.microsoft.dependencyinjection@12.0.0,NA
automapper@12.0.0,automapper@12.0.0,NA
automapper@9.0.0,automapper@9.0.0,NA
avalara.avatax@21.10.0,avalara.avatax@21.10.0,NA
azure.core@1.29.0,azure.core@1.29.0,NA
azure.extensions.aspnetcore.dataprotection.blobs@1.3.1,azure.extensions.aspnetcore.dataprotection.blobs@1.3.1,NA
azure.extensions.aspnetcore.dataprotection.keys@1.2.1,azure.extensions.aspnetcore.dataprotection.keys@1.2.1,NA
azure.identity@1.8.2,azure.identity@1.8.2,NA
azure.security.keyvault.keys@4.2.0,azure.security.keyvault.keys@4.2.0,NA
azure.storage.blobs@12.13.1,azure.storage.blobs@12.13.1,NA
azure.storage.blobs@12.15.0,azure.storage.blobs@12.15.0,NA
azure.storage.common@12.12.0,azure.storage.common@12.12.0,NA
azure.storage.common@12.14.0,azure.storage.common@12.14.0,NA
braintreehttp-dotnet@0.3.0,braintreehttp-dotnet@0.3.0,NA
castle.core@5.1.1,castle.core@5.1.1,NA
closedxml@0.100.3,closedxml@0.100.3,NA
cybersource.authentication.netstandard@0.0.1.9,cybersource.authentication.netstandard@0.0.1.9,NA
cybersource.rest.client.netstandard@0.0.1.19,cybersource.rest.client.netstandard@0.0.1.19,NA
documentformat.openxml@2.16.0,documentformat.openxml@2.16.0,NA
excelnumberformat@1.1.0,excelnumberformat@1.1.0,NA
excss@4.1.4,excss@4.1.4,NA
fizzler@1.2.1,fizzler@1.2.1,NA
fluentassertions@6.10.0,fluentassertions@6.10.0,NA
fluentmigrator.abstractions@3.3.2,fluentmigrator.abstractions@3.3.2,NA
fluentmigrator.extensions.oracle@3.3.2,fluentmigrator.extensions.oracle@3.3.2,NA
fluentmigrator.extensions.postgres@3.3.2,fluentmigrator.extensions.postgres@3.3.2,NA
fluentmigrator.extensions.sqlanywhere@3.3.2,fluentmigrator.extensions.sqlanywhere@3.3.2,NA
fluentmigrator.extensions.sqlserver@3.3.2,fluentmigrator.extensions.sqlserver@3.3.2,NA
fluentmigrator.runner.core@3.3.2,fluentmigrator.runner.core@3.3.2,NA
fluentmigrator.runner.db2@3.3.2,fluentmigrator.runner.db2@3.3.2,NA
fluentmigrator.runner.firebird@3.3.2,fluentmigrator.runner.firebird@3.3.2,NA
fluentmigrator.runner.hana@3.3.2,fluentmigrator.runner.hana@3.3.2,NA
fluentmigrator.runner.mysql@3.3.2,fluentmigrator.runner.mysql@3.3.2,NA
fluentmigrator.runner.oracle@3.3.2,fluentmigrator.runner.oracle@3.3.2,NA
fluentmigrator.runner.postgres@3.3.2,fluentmigrator.runner.postgres@3.3.2,NA
fluentmigrator.runner.redshift@3.3.2,fluentmigrator.runner.redshift@3.3.2,NA
fluentmigrator.runner.sqlanywhere@3.3.2,fluentmigrator.runner.sqlanywhere@3.3.2,NA
fluentmigrator.runner.sqlite@3.3.2,fluentmigrator.runner.sqlite@3.3.2,NA
fluentmigrator.runner.sqlserver@3.3.2,fluentmigrator.runner.sqlserver@3.3.2,NA
fluentmigrator.runner.sqlserverce@3.3.2,fluentmigrator.runner.sqlserverce@3.3.2,NA
fluentmigrator.runner@3.3.2,fluentmigrator.runner@3.3.2,NA
fluentmigrator@3.3.2,fluentmigrator@3.3.2,NA
