From_Source,Securin-SBOM,Checkmarx-SBOM,CVE[Securin],License[Securin]
advancedstringbuilder@0.1.0,advancedstringbuilder@0.1.0,advancedstringbuilder@0.1.0,NA,NA
autofac.extensions.dependencyinjection@8.0.0,autofac.extensions.dependencyinjection@8.0.0,autofac.extensions.dependencyinjection@8.0.0,NA,NA
autofac@6.4.0,autofac@6.4.0,autofac@6.4.0,NA,NA
automapper.extensions.microsoft.dependencyinjection@12.0.0,automapper.extensions.microsoft.dependencyinjection@12.0.0,automapper.extensions.microsoft.dependencyinjection@12.0.0,NA,NA
automapper@12.0.0,automapper@12.0.0,automapper@12.0.0,NA,NA
automapper@9.0.0,automapper@9.0.0,NA,NA,NA
avalara.avatax@21.10.0,avalara.avatax@21.10.0,avalara.avatax@21.10.0,NA,NA
azure.core@1.29.0,azure.core@1.29.0,azure.core@1.29.0,NA,NA
azure.extensions.aspnetcore.dataprotection.blobs@1.3.1,azure.extensions.aspnetcore.dataprotection.blobs@1.3.1,azure.extensions.aspnetcore.dataprotection.blobs@1.3.1,NA,NA
azure.extensions.aspnetcore.dataprotection.keys@1.2.1,azure.extensions.aspnetcore.dataprotection.keys@1.2.1,azure.extensions.aspnetcore.dataprotection.keys@1.2.1,NA,NA
azure.identity@1.8.2,azure.identity@1.8.2,azure.identity@1.8.2,['CVE-2023-36414'],NA
azure.security.keyvault.keys@4.2.0,azure.security.keyvault.keys@4.2.0,azure.security.keyvault.keys@4.2.0,NA,NA
azure.storage.blobs@12.13.1,azure.storage.blobs@12.13.1,azure.storage.blobs@12.13.1,NA,NA
azure.storage.blobs@12.15.0,azure.storage.blobs@12.15.0,azure.storage.blobs@12.15.0,NA,NA
azure.storage.common@12.12.0,azure.storage.common@12.12.0,azure.storage.common@12.12.0,NA,NA
azure.storage.common@12.14.0,azure.storage.common@12.14.0,azure.storage.common@12.14.0,NA,NA
braintreehttp-dotnet@0.3.0,braintreehttp-dotnet@0.3.0,braintreehttp-dotnet@0.3.0,NA,NA
castle.core@5.1.1,castle.core@5.1.1,castle.core@5.1.1,NA,NA
closedxml@0.100.3,closedxml@0.100.3,closedxml@0.100.3,NA,NA
cybersource.authentication.netstandard@0.0.1.9,cybersource.authentication.netstandard@0.0.1.9,cybersource.authentication.netstandard@0.0.1.9,NA,NA
cybersource.rest.client.netstandard@0.0.1.19,cybersource.rest.client.netstandard@0.0.1.19,cybersource.rest.client.netstandard@0.0.1.19,NA,NA
documentformat.openxml@2.16.0,documentformat.openxml@2.16.0,documentformat.openxml@2.16.0,NA,NA
excelnumberformat@1.1.0,excelnumberformat@1.1.0,excelnumberformat@1.1.0,NA,NA
excss@4.1.4,excss@4.1.4,NA,NA,NA
fizzler@1.2.1,fizzler@1.2.1,NA,NA,NA
fluentassertions@6.10.0,fluentassertions@6.10.0,fluentassertions@6.10.0,NA,NA
fluentmigrator.abstractions@3.3.2,fluentmigrator.abstractions@3.3.2,fluentmigrator.abstractions@3.3.2,NA,NA
fluentmigrator.extensions.oracle@3.3.2,fluentmigrator.extensions.oracle@3.3.2,fluentmigrator.extensions.oracle@3.3.2,NA,NA
fluentmigrator.extensions.postgres@3.3.2,fluentmigrator.extensions.postgres@3.3.2,fluentmigrator.extensions.postgres@3.3.2,NA,NA
fluentmigrator.extensions.sqlanywhere@3.3.2,fluentmigrator.extensions.sqlanywhere@3.3.2,fluentmigrator.extensions.sqlanywhere@3.3.2,NA,NA
fluentmigrator.extensions.sqlserver@3.3.2,fluentmigrator.extensions.sqlserver@3.3.2,fluentmigrator.extensions.sqlserver@3.3.2,NA,NA
fluentmigrator.runner.core@3.3.2,fluentmigrator.runner.core@3.3.2,fluentmigrator.runner.core@3.3.2,NA,NA
fluentmigrator.runner.db2@3.3.2,fluentmigrator.runner.db2@3.3.2,fluentmigrator.runner.db2@3.3.2,NA,NA
fluentmigrator.runner.firebird@3.3.2,fluentmigrator.runner.firebird@3.3.2,fluentmigrator.runner.firebird@3.3.2,NA,NA
fluentmigrator.runner.hana@3.3.2,fluentmigrator.runner.hana@3.3.2,fluentmigrator.runner.hana@3.3.2,NA,NA
fluentmigrator.runner.mysql@3.3.2,fluentmigrator.runner.mysql@3.3.2,fluentmigrator.runner.mysql@3.3.2,NA,NA
fluentmigrator.runner.oracle@3.3.2,fluentmigrator.runner.oracle@3.3.2,fluentmigrator.runner.oracle@3.3.2,NA,NA
fluentmigrator.runner.postgres@3.3.2,fluentmigrator.runner.postgres@3.3.2,fluentmigrator.runner.postgres@3.3.2,NA,NA
fluentmigrator.runner.redshift@3.3.2,fluentmigrator.runner.redshift@3.3.2,fluentmigrator.runner.redshift@3.3.2,NA,NA
fluentmigrator.runner.sqlanywhere@3.3.2,fluentmigrator.runner.sqlanywhere@3.3.2,fluentmigrator.runner.sqlanywhere@3.3.2,NA,NA
fluentmigrator.runner.sqlite@3.3.2,fluentmigrator.runner.sqlite@3.3.2,fluentmigrator.runner.sqlite@3.3.2,NA,NA
fluentmigrator.runner.sqlserver@3.3.2,fluentmigrator.runner.sqlserver@3.3.2,fluentmigrator.runner.sqlserver@3.3.2,NA,NA
fluentmigrator.runner.sqlserverce@3.3.2,fluentmigrator.runner.sqlserverce@3.3.2,fluentmigrator.runner.sqlserverce@3.3.2,NA,NA
fluentmigrator.runner@3.3.2,fluentmigrator.runner@3.3.2,fluentmigrator.runner@3.3.2,NA,NA
fluentmigrator@3.3.2,fluentmigrator@3.3.2,fluentmigrator@3.3.2,NA,NA
fluentvalidation.aspnetcore@11.2.2,fluentvalidation.aspnetcore@11.2.2,fluentvalidation.aspnetcore@11.2.2,NA,NA
fluentvalidation.dependencyinjectionextensions@11.2.1,fluentvalidation.dependencyinjectionextensions@11.2.1,fluentvalidation.dependencyinjectionextensions@11.2.1,NA,NA
fluentvalidation@11.2.1,fluentvalidation@11.2.1,fluentvalidation@11.2.1,NA,NA
fubarcoder.restsharp.portable.core@4.0.8,fubarcoder.restsharp.portable.core@4.0.8,fubarcoder.restsharp.portable.core@4.0.8,NA,NA
fubarcoder.restsharp.portable.httpclient@4.0.8,fubarcoder.restsharp.portable.httpclient@4.0.8,fubarcoder.restsharp.portable.httpclient@4.0.8,NA,NA
googleauthenticator@3.0.0,googleauthenticator@3.0.0,googleauthenticator@3.0.0,NA,NA
harfbuzzsharp.nativeassets.linux@2.8.2.3,harfbuzzsharp.nativeassets.linux@2.8.2.3,harfbuzzsharp.nativeassets.linux@2.8.2.3,NA,NA
harfbuzzsharp.nativeassets.macos@2.8.2.3,harfbuzzsharp.nativeassets.macos@2.8.2.3,NA,NA,NA
harfbuzzsharp.nativeassets.win32@2.8.2.3,harfbuzzsharp.nativeassets.win32@2.8.2.3,NA,NA,NA
harfbuzzsharp@2.8.2.3,harfbuzzsharp@2.8.2.3,NA,NA,NA
humanizer.core.af@2.14.1,humanizer.core.af@2.14.1,humanizer.core.af@2.14.1,NA,NA
humanizer.core.ar@2.14.1,humanizer.core.ar@2.14.1,humanizer.core.ar@2.14.1,NA,NA
humanizer.core.az@2.14.1,humanizer.core.az@2.14.1,humanizer.core.az@2.14.1,NA,NA
humanizer.core.bg@2.14.1,humanizer.core.bg@2.14.1,humanizer.core.bg@2.14.1,NA,NA
humanizer.core.bn-bd@2.14.1,humanizer.core.bn-bd@2.14.1,humanizer.core.bn-bd@2.14.1,NA,NA
humanizer.core.cs@2.14.1,humanizer.core.cs@2.14.1,humanizer.core.cs@2.14.1,NA,NA
humanizer.core.da@2.14.1,humanizer.core.da@2.14.1,humanizer.core.da@2.14.1,NA,NA
humanizer.core.de@2.14.1,humanizer.core.de@2.14.1,humanizer.core.de@2.14.1,NA,NA
humanizer.core.el@2.14.1,humanizer.core.el@2.14.1,humanizer.core.el@2.14.1,NA,NA
humanizer.core.es@2.14.1,humanizer.core.es@2.14.1,humanizer.core.es@2.14.1,NA,NA
humanizer.core.fa@2.14.1,humanizer.core.fa@2.14.1,humanizer.core.fa@2.14.1,NA,NA
humanizer.core.fi-fi@2.14.1,humanizer.core.fi-fi@2.14.1,humanizer.core.fi-fi@2.14.1,NA,NA
humanizer.core.fr-be@2.14.1,humanizer.core.fr-be@2.14.1,humanizer.core.fr-be@2.14.1,NA,NA
humanizer.core.fr@2.14.1,humanizer.core.fr@2.14.1,humanizer.core.fr@2.14.1,NA,NA
humanizer.core.he@2.14.1,humanizer.core.he@2.14.1,humanizer.core.he@2.14.1,NA,NA
humanizer.core.hr@2.14.1,humanizer.core.hr@2.14.1,humanizer.core.hr@2.14.1,NA,NA
humanizer.core.hu@2.14.1,humanizer.core.hu@2.14.1,humanizer.core.hu@2.14.1,NA,NA
humanizer.core.hy@2.14.1,humanizer.core.hy@2.14.1,humanizer.core.hy@2.14.1,NA,NA
humanizer.core.id@2.14.1,humanizer.core.id@2.14.1,humanizer.core.id@2.14.1,NA,NA
humanizer.core.is@2.14.1,humanizer.core.is@2.14.1,humanizer.core.is@2.14.1,NA,NA
humanizer.core.it@2.14.1,humanizer.core.it@2.14.1,humanizer.core.it@2.14.1,NA,NA
humanizer.core.ja@2.14.1,humanizer.core.ja@2.14.1,humanizer.core.ja@2.14.1,NA,NA
humanizer.core.ko-kr@2.14.1,humanizer.core.ko-kr@2.14.1,humanizer.core.ko-kr@2.14.1,NA,NA
humanizer.core.ku@2.14.1,humanizer.core.ku@2.14.1,humanizer.core.ku@2.14.1,NA,NA
humanizer.core.lv@2.14.1,humanizer.core.lv@2.14.1,humanizer.core.lv@2.14.1,NA,NA
humanizer.core.ms-my@2.14.1,humanizer.core.ms-my@2.14.1,humanizer.core.ms-my@2.14.1,NA,NA
humanizer.core.mt@2.14.1,humanizer.core.mt@2.14.1,humanizer.core.mt@2.14.1,NA,NA
humanizer.core.nb-no@2.14.1,humanizer.core.nb-no@2.14.1,humanizer.core.nb-no@2.14.1,NA,NA
humanizer.core.nb@2.14.1,humanizer.core.nb@2.14.1,humanizer.core.nb@2.14.1,NA,NA
humanizer.core.nl@2.14.1,humanizer.core.nl@2.14.1,humanizer.core.nl@2.14.1,NA,NA
humanizer.core.pl@2.14.1,humanizer.core.pl@2.14.1,humanizer.core.pl@2.14.1,NA,NA
humanizer.core.pt@2.14.1,humanizer.core.pt@2.14.1,humanizer.core.pt@2.14.1,NA,NA
humanizer.core.ro@2.14.1,humanizer.core.ro@2.14.1,humanizer.core.ro@2.14.1,NA,NA
humanizer.core.ru@2.14.1,humanizer.core.ru@2.14.1,humanizer.core.ru@2.14.1,NA,NA
humanizer.core.sk@2.14.1,humanizer.core.sk@2.14.1,humanizer.core.sk@2.14.1,NA,NA
humanizer.core.sl@2.14.1,humanizer.core.sl@2.14.1,humanizer.core.sl@2.14.1,NA,NA
humanizer.core.sr-latn@2.14.1,humanizer.core.sr-latn@2.14.1,humanizer.core.sr-latn@2.14.1,NA,NA
humanizer.core.sr@2.14.1,humanizer.core.sr@2.14.1,humanizer.core.sr@2.14.1,NA,NA
humanizer.core.sv@2.14.1,humanizer.core.sv@2.14.1,humanizer.core.sv@2.14.1,NA,NA
humanizer.core.th-th@2.14.1,humanizer.core.th-th@2.14.1,humanizer.core.th-th@2.14.1,NA,NA
humanizer.core.tr@2.14.1,humanizer.core.tr@2.14.1,humanizer.core.tr@2.14.1,NA,NA
humanizer.core.uk@2.14.1,humanizer.core.uk@2.14.1,humanizer.core.uk@2.14.1,NA,NA
humanizer.core.uz-cyrl-uz@2.14.1,humanizer.core.uz-cyrl-uz@2.14.1,humanizer.core.uz-cyrl-uz@2.14.1,NA,NA
humanizer.core.uz-latn-uz@2.14.1,humanizer.core.uz-latn-uz@2.14.1,humanizer.core.uz-latn-uz@2.14.1,NA,NA
humanizer.core.vi@2.14.1,humanizer.core.vi@2.14.1,humanizer.core.vi@2.14.1,NA,NA
humanizer.core.zh-cn@2.14.1,humanizer.core.zh-cn@2.14.1,humanizer.core.zh-cn@2.14.1,NA,NA
humanizer.core.zh-hans@2.14.1,humanizer.core.zh-hans@2.14.1,humanizer.core.zh-hans@2.14.1,NA,NA
humanizer.core.zh-hant@2.14.1,humanizer.core.zh-hant@2.14.1,humanizer.core.zh-hant@2.14.1,NA,NA
humanizer.core@2.14.1,humanizer.core@2.14.1,humanizer.core@2.14.1,NA,NA
humanizer@2.14.1,humanizer@2.14.1,humanizer@2.14.1,NA,NA
irony.netcore@1.0.11,irony.netcore@1.0.11,irony.netcore@1.0.11,NA,NA
jose-jwt@2.5.0,jose-jwt@2.5.0,jose-jwt@2.5.0,NA,NA
jsonsubtypes@1.2.0,jsonsubtypes@1.2.0,jsonsubtypes@1.2.0,NA,NA
ligershark.weboptimizer.core@3.0.380,ligershark.weboptimizer.core@3.0.380,ligershark.weboptimizer.core@3.0.380,NA,NA
linq2db@4.3.0,linq2db@4.3.0,linq2db@4.3.0,NA,NA
mailkit@3.4.3,mailkit@3.4.3,mailkit@3.4.3,NA,NA
maxmind.db@4.0.0,maxmind.db@4.0.0,maxmind.db@4.0.0,NA,NA
maxmind.geoip2@5.1.0,maxmind.geoip2@5.1.0,maxmind.geoip2@5.1.0,NA,NA
microsoft.aspnetcore.authentication.facebook@7.0.3,microsoft.aspnetcore.authentication.facebook@7.0.3,microsoft.aspnetcore.authentication.facebook@7.0.3,NA,NA
microsoft.aspnetcore.cryptography.internal@3.1.32,microsoft.aspnetcore.cryptography.internal@3.1.32,microsoft.aspnetcore.cryptography.internal@3.1.32,NA,NA
microsoft.aspnetcore.dataprotection.abstractions@3.1.32,microsoft.aspnetcore.dataprotection.abstractions@3.1.32,microsoft.aspnetcore.dataprotection.abstractions@3.1.32,NA,NA
microsoft.aspnetcore.dataprotection@3.1.32,microsoft.aspnetcore.dataprotection@3.1.32,microsoft.aspnetcore.dataprotection@3.1.32,NA,NA
microsoft.aspnetcore.jsonpatch@7.0.3,microsoft.aspnetcore.jsonpatch@7.0.3,microsoft.aspnetcore.jsonpatch@7.0.3,NA,NA
